"nm" "A" "C" "D65"
"1" 400 0.0502915869286319 0.212202836411057 0.288325933664142
"2" 405 0.0552147606320466 0.240731211416714 0.303299381909985
"3" 410 0.0604456326919247 0.270198240359102 0.318621049882476
"4" 415 0.0659500144019925 0.300134596269856 0.322103247148951
"5" 420 0.0717620944685237 0.328864111404813 0.325237224688779
"6" 425 0.0779160615977921 0.354677094664926 0.313745973709411
"7" 430 0.0843435383772502 0.376802508887879 0.301906503003395
"8" 435 0.0910787135131716 0.394737503750425 0.333594498128319
"9" 440 0.0981215870055565 0.407308761831649 0.365282493253243
"10" 445 0.105472158854405 0.413845816033885 0.386175676852094
"11" 450 0.113130429059717 0.415689600552465 0.407417080177592
"12" 455 0.121062208915218 0.414348666357134 0.408809959084182
"13" 460 0.129267498420909 0.412672498612971 0.410202837990772
"14" 465 0.137780486283064 0.413342965710636 0.404979542091059
"15" 470 0.146566983795408 0.4150191334548 0.400104465917994
"16" 475 0.155626990957942 0.415991310746414 0.401845564551232
"17" 480 0.164926319064392 0.415354367003632 0.403586663184469
"18" 485 0.174499156821032 0.412069078225072 0.391398972751806
"19" 490 0.184311315521587 0.404626893440988 0.378863062592496
"20" 495 0.194362795166059 0.391888018585348 0.379907721772438
"21" 500 0.204653595754446 0.375796808241382 0.380952380952381
"22" 505 0.215149528580476 0.358632850541151 0.378166623139201
"23" 510 0.225850593644149 0.342943920455783 0.375380865326021
"24" 515 0.236756790945463 0.331244269601525 0.370157569426308
"25" 520 0.24786812048442 0.324841308818821 0.364934273526595
"26" 525 0.259116204848471 0.324439028560222 0.369809349699661
"27" 530 0.270535232743892 0.32852887785598 0.375032645599373
"28" 535 0.28212520417068 0.335032408703333 0.369112910246365
"29" 540 0.293851930422564 0.342273453358118 0.363541394620005
"30" 545 0.305681222793269 0.348475274011522 0.36284495516671
"31" 550 0.317647269989068 0.35266569337193 0.362148515713415
"32" 555 0.329715883303689 0.354241291051443 0.355184121180465
"33" 560 0.341887062737131 0.353000926920762 0.348219726647515
"34" 565 0.35412661958312 0.349011647689654 0.341951771567859
"35" 570 0.366434553841657 0.342943920455783 0.335335596761557
"36" 575 0.378810865512741 0.335736399155882 0.334639157308261
"37" 580 0.391255554596372 0.327858410758315 0.333594498128319
"38" 585 0.403700243680004 0.319913375650982 0.321058587969008
"39" 590 0.416179121469909 0.312437667512014 0.308870897536345
"40" 595 0.428692187966088 0.305800043245128 0.310960215896231
"41" 600 0.441171065755994 0.300704493302872 0.313397753982763
"42" 605 0.453684132252172 0.297787961428028 0.312701314529468
"43" 610 0.466163010042078 0.296346457168048 0.312004875076173
"44" 615 0.478607699125709 0.295642466715499 0.308522677809698
"45" 620 0.491018199503067 0.29534075652155 0.30538870026987
"46" 625 0.503394511174151 0.295206663102017 0.297727866283625
"47" 630 0.515702445432688 0.295005522972717 0.29006703229738
"48" 635 0.527942002278677 0.294536196004351 0.290763471750675
"49" 640 0.540113181712119 0.294335055875052 0.29145991120397
"50" 645 0.552215983733014 0.294971999617834 0.285191956124314
"51" 650 0.564216219635087 0.295675990070382 0.278575781318012
"52" 655 0.576113889418339 0.295675990070382 0.278924001044659
"53" 660 0.58790899308277 0.294670289423884 0.279272220771307
"54" 665 0.59960153062838 0.292390701291822 0.282754418037782
"55" 670 0.611191502055169 0.289306552642562 0.286584835030904
"56" 675 0.622644718656863 0.285954217154236 0.279620440497954
"57" 680 0.633961180433462 0.281596181019412 0.272656045965004
"58" 685 0.645140887384966 0.275595500495308 0.257682597719161
"59" 690 0.656183839511375 0.268857306163772 0.242709149473318
"60" 695 0.66709003681269 0.262286728606652 0.246191346739793
"61" 700 0.677825290582635 0.255783197759299 0.24932532427962
